epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9662.64,1.04781,0.8952,1.39831,0.67755,0.57133,0.63464,0.42673,1.20599,1.0195,1.65577,0.000312497,0.000312497,0.000312497
43,9892.04,1.048,0.88865,1.39755,0.75377,0.55841,0.65174,0.43757,1.18833,0.94726,1.64656,0.000307289,0.000307289,0.000307289
44,10121.8,1.03107,0.86837,1.38559,0.65387,0.61779,0.67528,0.4331,1.2148,0.94109,1.66009,0.000302082,0.000302082,0.000302082
45,10351.2,1.01815,0.86961,1.38689,0.63235,0.67685,0.67405,0.4418,1.20269,0.98548,1.67705,0.000296874,0.000296874,0.000296874
46,10580.8,1.01622,0.83927,1.37142,0.71079,0.64949,0.69144,0.44407,1.19007,0.9123,1.65609,0.000291667,0.000291667,0.000291667
47,10810.5,1.01145,0.84341,1.36965,0.70752,0.61181,0.67309,0.43844,1.20176,0.9316,1.65441,0.00028646,0.00028646,0.00028646
48,11039.7,1.00235,0.82424,1.36324,0.68883,0.63208,0.69695,0.46068,1.19062,0.97267,1.65256,0.000281252,0.000281252,0.000281252
49,11269.3,0.98777,0.80949,1.35676,0.7235,0.62794,0.6736,0.45449,1.18828,0.9211,1.65305,0.000276045,0.000276045,0.000276045
50,11498.5,0.99174,0.80209,1.35963,0.80765,0.6233,0.71074,0.46648,1.20144,0.90043,1.66005,0.000270837,0.000270837,0.000270837
51,11728.2,0.97554,0.79371,1.35084,0.75252,0.61637,0.70924,0.46183,1.18166,0.89288,1.64456,0.00026563,0.00026563,0.00026563
52,11957.5,0.9745,0.77914,1.35166,0.73895,0.65354,0.70771,0.4508,1.19878,0.87051,1.65438,0.000260423,0.000260423,0.000260423
53,12186.6,0.97144,0.77855,1.34434,0.79541,0.63542,0.72296,0.46529,1.20464,0.88155,1.65196,0.000255215,0.000255215,0.000255215
54,12416.2,0.95328,0.74596,1.32445,0.79252,0.61702,0.70822,0.4641,1.1798,0.86447,1.63673,0.000250008,0.000250008,0.000250008
55,12645.5,0.9648,0.753,1.3347,0.70224,0.66142,0.70705,0.45954,1.20003,0.92342,1.65558,0.0002448,0.0002448,0.0002448
56,12874.7,0.94695,0.74635,1.32006,0.73109,0.67161,0.73555,0.48039,1.20322,0.90392,1.66871,0.000239593,0.000239593,0.000239593
57,13104.3,0.9261,0.72683,1.30318,0.79846,0.64484,0.73672,0.48135,1.19847,0.86674,1.65584,0.000234386,0.000234386,0.000234386
58,13333.9,0.94096,0.73607,1.31314,0.77954,0.68066,0.74249,0.48652,1.19142,0.87012,1.65891,0.000229178,0.000229178,0.000229178
59,13563.5,0.9263,0.70897,1.30705,0.72905,0.69268,0.73552,0.47947,1.20223,0.86236,1.64783,0.000223971,0.000223971,0.000223971
60,13792.7,0.91403,0.71205,1.30109,0.7352,0.6882,0.75147,0.49556,1.19871,0.79923,1.65134,0.000218763,0.000218763,0.000218763
61,14022.4,0.92941,0.70599,1.30299,0.79171,0.69123,0.74554,0.4831,1.19111,0.85259,1.65529,0.000213556,0.000213556,0.000213556
